slug,titleOfOffVocal,albumTitle,publishedAt,albumDescription,albumURL,remarks
minusZero,-Zero -OFF VOCAL-,-Zero / TREAT OR TREAT?,2015年10月28日,t7s HALLOWEEN EP,http://t7s.jp/release/cd/06.html,
treatOrTreat,TREAT OR TREAT? -OFF VOCAL-,-Zero / TREAT OR TREAT?,2015年10月28日,t7s HALLOWEEN EP,http://t7s.jp/release/cd/06.html,
yellow,YELLOW -OFF VOCAL-,YELLOW,2015年12月9日,Le☆S☆Ca 1stシングル,http://t7s.jp/release/cd/07.html,
behindMoon,Behind Moon -OFF VOCAL-,YELLOW,2015年12月9日,Le☆S☆Ca 1stシングル,http://t7s.jp/release/cd/07.html,
snowIn,"Snow in ""I love you"" -OFF VOCAL-","Snow in ""I love you""",2015年12月9日,777☆SISTERS 2ndシングル,http://t7s.jp/release/cd/08.html,
haneru,ハネ☆る!! -OFF VOCAL-,"Snow in ""I love you""",2015年12月9日,777☆SISTERS 2ndシングル,http://t7s.jp/release/cd/08.html,
bokuraHaAozora,僕らは青空になる -OFF VOCAL-,僕らは青空になる / FUNBARE☆RUNNER,2015年7月29日,777☆SISTERS 両A面1stシングル,http://t7s.jp/release/cd/04.html,
funbare,FUNBARE☆RUNNER -OFF VOCAL-,僕らは青空になる / FUNBARE☆RUNNER,2015年7月29日,777☆SISTERS 両A面1stシングル,http://t7s.jp/release/cd/04.html,
starGlitter,Star☆Glitter【Original Instrumental】,The Things She Loved,2015年8月14日,t7s オリジナルサウンドトラック,http://t7s.jp/release/cd/05.html,【Original Instrumental】表記
trigger,TRIGGER -OFF VOCAL-,TRIGGER / Fire and Rose,2016年10月26日,The QUEEN of PURPLE 1stシングル,http://t7s.jp/release/cd/11.html,
fireAndRose,Fire and Rose -OFF VOCAL-,TRIGGER / Fire and Rose,2016年10月26日,The QUEEN of PURPLE 1stシングル,http://t7s.jp/release/cd/11.html,
winningDay,Winning Day -OFF VOCAL-,Winning Day / Lucky☆Lucky,2016年12月7日,New EP,http://t7s.jp/release/cd/12.html,
luckyLucky,Lucky☆Lucky -OFF VOCAL-,Winning Day / Lucky☆Lucky,2016年12月7日,New EP,http://t7s.jp/release/cd/12.html,
twilight,トワイライト -OFF VOCAL-,トワイライト / タンポポ,2016年12月7日,Le☆S☆Ca 2ndシングル,http://t7s.jp/release/cd/13.html,
tanpopo,タンポポ -OFF VOCAL-,トワイライト / タンポポ,2016年12月7日,Le☆S☆Ca 2ndシングル,http://t7s.jp/release/cd/13.html,
seventhHaven,SEVENTH HAVEN -OFF VOCAL-,SEVENTH HAVEN,2016年2月24日,セブンスシスターズ 1stシングル,http://t7s.jp/release/cd/09.html,
fallingDown,FALLING DOWN -OFF VOCAL-,SEVENTH HAVEN,2016年2月24日,セブンスシスターズ 1stシングル,http://t7s.jp/release/cd/09.html,
seventhHaven,SEVENTH HAVEN -OFF VOCAL-,Are You Ready 7th-TYPES??,2016年6月29日,Tokyo 7th シスターズ 2ndアルバム,http://t7s.jp/release/cd/10.html,プレミアムボックスのみ収録
fallingDown,FALLING DOWN -OFF VOCAL-,Are You Ready 7th-TYPES??,2016年6月29日,Tokyo 7th シスターズ 2ndアルバム,http://t7s.jp/release/cd/10.html,プレミアムボックスのみ収録
minusZero,-Zero -OFF VOCAL-,Are You Ready 7th-TYPES??,2016年6月29日,Tokyo 7th シスターズ 2ndアルバム,http://t7s.jp/release/cd/10.html,プレミアムボックスのみ収録
treatOrTreat,TREAT OR TREAT? -OFF VOCAL-,Are You Ready 7th-TYPES??,2016年6月29日,Tokyo 7th シスターズ 2ndアルバム,http://t7s.jp/release/cd/10.html,プレミアムボックスのみ収録
bokuraHaAozora,僕らは青空になる -OFF VOCAL-,Are You Ready 7th-TYPES??,2016年6月29日,Tokyo 7th シスターズ 2ndアルバム,http://t7s.jp/release/cd/10.html,プレミアムボックスのみ収録
